compound_id,canonical_smiles,fold,is_binder,pKD_global_mean,oof_p_binder_xgb
1167298751,CN(CC1CCCNC1)C(=O)c1ccc(=O)n(Cc2ccccc2Cl)c1,0,false,2.8363811201272076,0.09391108900308609
1181032117,NC(=O)C1CCN1C(=O)NC1CCN(c2ccccc2Cl)C1=O,5,false,2.365909297963787,0.04220690578222275
173355673,CN(CC1CCCO1)C(=O)c1ccc(=O)n(Cc2ccccc2Cl)c1,0,false,2.751116081281551,0.0876665860414505
268757722,O=C(Nc1ncccc1O)C1CC(=O)N(c2c(F)cccc2F)C1,0,false,2.8682547832756664,0.25768592953681946
302181339,CN1CCC(N(C)C(=O)c2ccc(=O)n(Cc3ccccc3Cl)c2)C1=O,0,false,2.881901889586504,0.12364644557237625
342853879,Cc1ccc(S(C)(=O)=O)cc1C(=O)NC1CCN(c2ccccc2Cl)C1=O,5,false,2.6933148710185884,0.13283929228782654
354012616,Cc1ccc(NC(=O)C(=O)NC2CCN(c3ccccc3Cl)C2=O)cc1,5,false,2.4511834020634047,0.26802462339401245
427095899,Cc1ccc(NC2CCCN(c3ccccc3)C2=O)cc1C(N)=O,5,false,2.9864723841983007,0.19393527507781982
444853644,COc1ccccc1N1CCCC(Nc2ccc(C)c(C(N)=O)c2)C1=O,5,false,2.9173368754446702,0.3251969516277313
543294655,Cc1cc(=O)[nH]cc1C(=O)NC1CCN(c2ccccc2Cl)C1=O,5,false,2.45415781378126,0.06921100616455078
773212998,CC(C)N1CCC(N(C)C(=O)c2ccc(=O)n(Cc3ccccc3Cl)c2)C1,0,false,2.977942440727496,0.09391108900308609
97315646,CCN(CC(=O)N(C)C)C(=O)c1ccc(=O)n(Cc2ccccc2Cl)c1,0,false,2.670745192395454,0.1253519058227539
CF-10-034,COc1cc2nc(C(=O)O)nc(Nc3ccc(-c4ncccn4)cc3)c2cc1OC,1,false,0.7935955610654086,0.17389056086540222
CF-10-045,COc1cc2nc(N3CCN(C(C)=O)CC3)nc(Nc3ccc(-c4ncccn4)cc3)c2cc1OC,1,true,5.376361287678498,0.1296415776014328
CF-10-050,COc1cc2nc(N3CCC(C(=O)O)CC3)nc(Nc3ccc(-c4ncccn4)cc3)c2cc1OC,1,true,5.5521924334854065,0.0994792953133583
CF-10-051,COc1cc2nc(N(C)CCO)nc(Nc3ccc(-c4ncccn4)cc3)c2cc1OC,1,false,1.4009037918627234,0.16319313645362854
CF-10-061,COc1cc2nc(NCc3ccccc3)nc(Nc3ccc(-c4ncccn4)cc3)c2cc1OC,1,true,5.3564702309489896,0.1482965350151062
CF-10-063,COc1cc2nc(NCCO)nc(Nc3ccc(-c4ncccn4)cc3)c2cc1OC,1,true,6.119865879807937,0.1890711933374405
CF-10-065,COc1cc2nc(NCC(=O)O)nc(Nc3ccc(-c4ncccn4)cc3)c2cc1OC,1,false,0.6955934447483199,0.20177561044692993
CF-10-066,CNC(=O)CNc1nc(Nc2ccc(-c3ncccn3)cc2)c2cc(OC)c(OC)cc2n1,1,false,1.0080588111465805,0.20177561044692993
CF-10-071,COc1cc2nc(OCCO)nc(Nc3ccc(-c4ncccn4)cc3)c2cc1OC.O=CO,1,false,0.3479859922314758,0.17037975788116455
CF-10-073,COc1cc2nc(OCC(=O)O)nc(Nc3ccc(-c4ncccn4)cc3)c2cc1OC,1,true,5.246886067269574,0.20177561044692993
CF-10-074,CNC(=O)COc1nc(Nc2ccc(-c3ncccn3)cc2)c2cc(OC)c(OC)cc2n1,1,false,0.032534178134083484,0.20177561044692993
CF-10-075,CCOCCNC(=O)COc1nc(Nc2ccc(-c3ncccn3)cc2)c2cc(OC)c(OC)cc2n1,1,false,0.37890078855742476,0.14162151515483856
CF-2-09,COc1ccccc1NC1CCN(c2ccccc2Cl)C1=O,5,false,2.7767806837113187,0.03073289804160595
CF-2-102,CN1CCN(C(=O)c2ccc(N[C@H]3CCN(c4ccccc4F)C3=O)cc2)CC1,5,false,-0.4931510078333014,0.23192617297172546
CF-2-103,CN1CCC(CNC(=O)c2ccc(N[C@H]3CCN(c4ccccc4F)C3=O)cc2)CC1,5,false,-0.604841704977382,0.4755469262599945
CF-2-105,O=C(Nc1ccccc1)c1ccc(N[C@H]2CCN(c3ccccc3F)C2=O)cc1,5,false,0.15043813180995477,0.7446564435958862
CF-2-106,CN(C)CCNC(=O)c1ccc(N[C@H]2CCN(c3ccccc3Cl)C2=O)cc1,5,false,-0.4472806361978953,0.3950655162334442
CF-2-108,CC(=O)N1CCN(C(=O)c2ccc(N[C@H]3CCN(c4ccccc4Cl)C3=O)cc2)CC1,5,false,-0.4429961720795169,0.38188037276268005
CF-2-109,CN1CCC(NC(=O)c2ccc(N[C@H]3CCN(c4ccccc4Cl)C3=O)cc2)CC1,5,false,-0.4304356549637877,0.6674800515174866
CF-2-111,NCCCNC(=O)c1ccc(N[C@H]2CCN(c3ccccc3Cl)C2=O)cc1,5,false,2.8364806538058462,0.445677787065506
CF-2-112,CN(CCCNC(=O)OC(C)(C)C)C(=O)c1ccc(N[C@H]2CCN(c3ccccc3Cl)C2=O)cc1,5,false,0.4915666125393126,0.4877370595932007
CF-2-114,CN1CCN(C(=O)c2ccc(N[C@H]3CCN(c4ccccc4Cl)C3=O)cc2)CC1,5,false,-0.5736485094149807,0.2417396903038025
CF-2-115,CN1CCC(CNC(=O)c2ccc(N[C@H]3CCN(c4ccccc4Cl)C3=O)cc2)CC1,5,false,0.04693972444836963,0.671028733253479
CF-2-117,O=C(Nc1ccccc1)c1ccc(N[C@H]2CCN(c3ccccc3Cl)C2=O)cc1,5,false,-0.8128289894242487,0.6862344145774841
CF-2-118,CN(C)CCNC(=O)c1cccc(N[C@H]2CCN(c3ccccc3F)C2=O)c1,5,false,2.9142259004652944,0.2881474792957306
CF-2-119,CN(C)CCN(C)C(=O)c1cccc(N[C@H]2CCN(c3ccccc3F)C2=O)c1,5,false,0.4156960224759323,0.2064390927553177
CF-2-120,CC(=O)N1CCN(C(=O)c2cccc(N[C@H]3CCN(c4ccccc4F)C3=O)c2)CC1,5,false,2.4416289068500148,0.2946840524673462
CF-2-121,CN1CCC(NC(=O)c2cccc(N[C@H]3CCN(c4ccccc4F)C3=O)c2)CC1,5,false,-0.5246513839194187,0.28232696652412415
CF-2-122,CC(C)(C)OC(=O)NCCCNC(=O)c1cccc(N[C@H]2CCN(c3ccccc3F)C2=O)c1,5,false,2.7785217054977482,0.4323144853115082
CF-2-123,NCCCNC(=O)c1cccc(N[C@H]2CCN(c3ccccc3F)C2=O)c1,5,false,2.949706990973341,0.41679543256759644
CF-2-126,CN1CCN(C(=O)c2cccc(N[C@H]3CCN(c4ccccc4F)C3=O)c2)CC1,5,false,-0.13443833130731178,0.20099034905433655
CF-2-127,CN1CCC(CNC(=O)c2cccc(N[C@H]3CCN(c4ccccc4F)C3=O)c2)CC1,5,false,-0.35210328801459784,0.41589000821113586
CF-2-128,O=C(NCc1ccccc1)c1cccc(N[C@H]2CCN(c3ccccc3F)C2=O)c1,5,false,1.7434259932658895,0.7749208211898804
CF-2-130,CN(C)CCNC(=O)c1ccnc(N[C@H]2CCN(c3ccccc3Cl)C2=O)c1,5,false,2.7533878027660745,0.1435375213623047
CF-2-132,CC(=O)N1CCN(C(=O)c2ccnc(N[C@H]3CCN(c4ccccc4Cl)C3=O)c2)CC1,5,false,0.10011850246257825,0.16251452267169952
CF-2-133,CN1CCC(NC(=O)c2ccnc(N[C@H]3CCN(c4ccccc4Cl)C3=O)c2)CC1,5,false,1.8134914007633611,0.1628561019897461
CF-2-134,CC(C)(C)OC(=O)NCCCNC(=O)c1ccnc(N[C@H]2CCN(c3ccccc3Cl)C2=O)c1,5,false,-0.5338569645679782,0.20360371470451355
